Course ID,Date,CLC,Price,URL
ECMS,"Mon 29, 2026 Remote BST",38,"USD 3795",https://app.firefly.cloud/event_register.asp?id=18163&r=AAAFEGAAEAAD6mNAAF
CCNA-Modular,"Tue 30, 2026 Remote CST",42,"USD 4195",https://app.firefly.cloud/event_register.asp?id=19030&r=AAAFEGAAEAAD6FaAAK
DCAIE,"Mon 06, 2026 Remote BST",35,"USD 3500",https://app.firefly.cloud/event_register.asp?id=18741&r=AAAFEGAAEAAD6EgAAB
ENCOR,"Mon 06, 2026 Remote GMT",43,"USD 4295",https://app.firefly.cloud/event_register.asp?id=18050&r=AAAFEGAAEAAD6mFAAM
AI-NE,"Mon 13, 2026 Remote CST",29,"USD 2900",https://app.firefly.cloud/event_register.asp?id=19013&r=AAAFEGAAEAAD6E0AAD
SISE,"Mon 13, 2026 Remote EST",44,"USD 4395",https://app.firefly.cloud/event_register.asp?id=18707&r=AAAFEGAAEAAD6EiAAC
CCNAAUTO,"Mon 13, 2026 Remote CST",45,"USD 4495",https://app.firefly.cloud/event_register.asp?id=18668&r=AAAFEGAAEAAD6EbAAE
DCCOR,"Mon 13, 2026 Remote CST",46,"USD 4595",https://app.firefly.cloud/event_register.asp?id=19096&r=AAAFEGAAEAAD6E8AAK
ENCOR,"Mon 20, 2026 Remote CST",43,"USD 4295",https://app.firefly.cloud/event_register.asp?id=18122&r=AAAFEGAAEAAD6n2AAH
CCFND,"Mon 27, 2026 Remote CST",44,"USD 4395",https://app.firefly.cloud/event_register.asp?id=19001&r=AAAFEGAAEAAD6E0AAA
SFWIPA,"Mon 27, 2026 Remote CST",40,"USD 3995",https://app.firefly.cloud/event_register.asp?id=15928&r=AAAFEGAAEAAD9gCAAH
CCNAAUTO,"Mon 27, 2026 Remote CST",45,"USD 4495",https://app.firefly.cloud/event_register.asp?id=19070&r=AAAFEGAAEAAD6FqAAE
